,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,OPP_RANK,PL_RATING,OPP_RATING,WON
0,29:33,11.0,19.0,0.579,5.0,10.0,0.5,11.0,11.0,1.0,1.0,6.0,7.0,7.0,2.0,1.0,3.0,2.0,38.0,-6.0,2022,125.0,0.506,0.84,0.41,30.0,34.0,119.0,0.465,0.862,0.424,27.0,46.0,1,0,0.389,22.6,112.6,0
1,27:19,6.0,17.0,0.353,3.0,10.0,0.3,5.0,5.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,0.0,20.0,-20.0,2022,128.0,0.549,0.813,0.414,22.0,55.0,111.0,0.4,0.789,0.4,25.0,37.0,1,0,0.649,25.0,107.6,0
2,37:26,12.0,21.0,0.571,6.0,11.0,0.545,2.0,2.0,1.0,1.0,5.0,6.0,7.0,0.0,1.0,4.0,3.0,32.0,20.0,2022,123.0,0.511,0.8,0.333,26.0,53.0,107.0,0.437,0.731,0.3,17.0,39.0,1,1,0.472,23.6,118.8,1
3,37:42,3.0,17.0,0.176,2.0,10.0,0.2,4.0,4.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,3.0,2.0,12.0,-17.0,2022,104.0,0.404,0.789,0.295,26.0,47.0,112.0,0.478,0.611,0.385,26.0,47.0,0,1,0.389,27.8,109.8,0
4,34:32,10.0,21.0,0.476,8.0,17.0,0.471,2.0,3.0,0.667,0.0,3.0,3.0,10.0,1.0,1.0,4.0,0.0,30.0,19.0,2022,120.0,0.529,0.5,0.481,34.0,35.0,101.0,0.44,0.9,0.107,17.0,45.0,1,1,0.278,26.2,116.2,1
5,33:22,6.0,16.0,0.375,4.0,8.0,0.5,3.0,3.0,1.0,0.0,11.0,11.0,6.0,0.0,1.0,6.0,5.0,19.0,-1.0,2022,119.0,0.483,0.652,0.4,32.0,50.0,111.0,0.462,0.667,0.333,28.0,44.0,1,1,0.697,29.0,117.0,1
6,37:48,11.0,24.0,0.458,5.0,14.0,0.357,5.0,6.0,0.833,1.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,32.0,-12.0,2022,116.0,0.462,0.63,0.341,21.0,39.0,113.0,0.477,0.783,0.256,27.0,50.0,1,0,0.486,27.4,110.2,0
7,32:37,7.0,17.0,0.412,4.0,11.0,0.364,7.0,7.0,1.0,1.0,10.0,11.0,8.0,1.0,0.0,7.0,1.0,25.0,22.0,2022,114.0,0.443,0.759,0.4,22.0,31.0,137.0,0.575,0.85,0.426,36.0,47.0,0,0,0.457,32.4,113.2,1
8,35:43,13.0,23.0,0.565,6.0,13.0,0.462,1.0,1.0,1.0,0.0,5.0,5.0,4.0,2.0,0.0,5.0,4.0,33.0,19.0,2022,129.0,0.515,0.833,0.444,33.0,49.0,118.0,0.474,0.882,0.244,28.0,42.0,1,1,0.743,29.0,118.6,1
9,31:41,9.0,20.0,0.45,4.0,10.0,0.4,0.0,0.0,0.0,1.0,5.0,6.0,9.0,0.0,0.0,1.0,0.0,22.0,18.0,2022,124.0,0.495,0.692,0.373,36.0,45.0,107.0,0.453,0.667,0.379,22.0,43.0,1,1,0.5,30.0,111.8,1
10,36:60,11.0,20.0,0.55,7.0,14.0,0.5,4.0,5.0,0.8,0.0,6.0,6.0,15.0,3.0,2.0,1.0,3.0,33.0,22.0,2022,120.0,0.456,0.852,0.333,24.0,45.0,127.0,0.535,0.733,0.511,38.0,40.0,0,0,0.278,31.4,102.6,1
11,33:50,9.0,19.0,0.474,5.0,13.0,0.385,1.0,3.0,0.333,0.0,6.0,6.0,10.0,2.0,0.0,5.0,2.0,24.0,18.0,2022,111.0,0.451,0.55,0.36,32.0,51.0,101.0,0.345,0.941,0.265,16.0,45.0,1,1,0.472,36.0,113.0,1
12,36:14,17.0,28.0,0.607,7.0,11.0,0.636,9.0,9.0,1.0,0.0,9.0,9.0,6.0,0.0,1.0,3.0,2.0,50.0,-14.0,2022,130.0,0.512,0.84,0.525,33.0,47.0,119.0,0.457,1.0,0.429,30.0,40.0,1,0,0.771,33.8,105.6,0
13,27:01,5.0,11.0,0.455,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,1.0,16.0,17.0,2022,132.0,0.534,0.938,0.511,35.0,40.0,95.0,0.36,0.684,0.25,18.0,53.0,1,1,0.412,35.2,109.8,1
14,36:51,9.0,17.0,0.529,3.0,9.0,0.333,6.0,6.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,0.0,27.0,0.0,2022,122.0,0.516,0.632,0.432,31.0,45.0,115.0,0.467,0.938,0.34,27.0,43.0,1,0,0.405,36.2,118.6,0
15,34:00,15.0,23.0,0.652,6.0,11.0,0.545,4.0,6.0,0.667,0.0,4.0,4.0,5.0,1.0,0.0,2.0,4.0,40.0,7.0,2022,106.0,0.488,0.786,0.417,29.0,44.0,101.0,0.402,0.731,0.267,25.0,46.0,1,1,0.556,34.4,115.4,1
16,37:43,17.0,24.0,0.708,7.0,12.0,0.583,6.0,7.0,0.857,0.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,47.0,20.0,2022,116.0,0.5,0.667,0.368,28.0,48.0,113.0,0.407,0.862,0.35,24.0,43.0,1,1,0.405,31.6,115.4,1
17,38:21,13.0,22.0,0.591,8.0,15.0,0.533,5.0,5.0,1.0,1.0,2.0,3.0,9.0,0.0,0.0,5.0,3.0,39.0,4.0,2022,130.0,0.538,0.717,0.433,20.0,46.0,129.0,0.515,0.667,0.442,31.0,35.0,1,0,0.194,28.0,104.0,0
18,34:29,7.0,14.0,0.5,4.0,10.0,0.4,5.0,5.0,1.0,4.0,9.0,13.0,13.0,1.0,0.0,5.0,3.0,23.0,3.0,2022,116.0,0.455,1.0,0.381,32.0,39.0,109.0,0.464,0.765,0.367,31.0,41.0,1,0,0.639,30.0,108.8,0
19,34:59,10.0,24.0,0.417,4.0,14.0,0.286,8.0,9.0,0.889,0.0,6.0,6.0,3.0,2.0,0.0,1.0,1.0,32.0,-12.0,2022,128.0,0.482,0.895,0.424,24.0,47.0,114.0,0.424,0.96,0.308,23.0,42.0,1,0,0.152,30.4,109.0,0
20,38:54,10.0,22.0,0.455,3.0,13.0,0.231,8.0,8.0,1.0,0.0,11.0,11.0,6.0,1.0,0.0,2.0,5.0,31.0,-6.0,2022,120.0,0.422,0.774,0.323,32.0,55.0,113.0,0.44,0.75,0.295,31.0,49.0,1,0,0.528,30.8,118.2,0
21,36:56,13.0,22.0,0.591,7.0,14.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,9.0,1.0,0.0,3.0,0.0,33.0,13.0,2022,123.0,0.5,0.867,0.391,30.0,50.0,110.0,0.443,0.818,0.326,25.0,31.0,1,1,0.639,27.0,106.6,1
22,29:55,7.0,17.0,0.412,4.0,9.0,0.444,3.0,5.0,0.6,0.0,7.0,7.0,8.0,1.0,0.0,1.0,1.0,21.0,-17.0,2022,134.0,0.511,0.824,0.414,31.0,48.0,105.0,0.451,0.765,0.286,28.0,40.0,1,0,0.771,,107.8,0
23,31:21,11.0,22.0,0.5,7.0,12.0,0.583,4.0,4.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,3.0,33.0,19.0,2022,130.0,0.517,0.722,0.424,24.0,37.0,125.0,0.47,0.8,0.256,31.0,51.0,1,1,0.405,,116.2,1
24,35:55,10.0,22.0,0.455,5.0,11.0,0.455,9.0,9.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,34.0,9.0,2022,123.0,0.477,0.889,0.341,34.0,35.0,128.0,0.535,0.84,0.441,30.0,41.0,0,1,0.515,,113.4,0
25,32:48,10.0,22.0,0.455,4.0,13.0,0.308,9.0,9.0,1.0,1.0,5.0,6.0,7.0,4.0,1.0,4.0,1.0,33.0,20.0,2022,123.0,0.455,0.739,0.356,31.0,48.0,109.0,0.426,0.76,0.25,23.0,48.0,1,1,0.486,,107.4,1
26,26:06,4.0,13.0,0.308,1.0,9.0,0.111,5.0,5.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,14.0,-2.0,2022,112.0,0.435,0.846,0.238,33.0,41.0,119.0,0.507,0.829,0.29,28.0,44.0,0,1,0.515,,109.0,0
27,,,,,,,,,,,,,,,,,,,,,2022,131.0,0.5,0.846,0.405,32.0,49.0,98.0,0.386,0.73,0.28,18.0,43.0,1,1,0.371,19.4,90.0,1
